Freq [GHz],dB20(S11diff) [],ang_deg(S11diff) [deg],dB20(S21diff) [],ang_deg(S21diff) [deg],dB20(S21diff) norm2
5.4,-18.769890649633,-169.917476783922,-26.8310451865613,-3.43532203759557,0.9049993166199
5.5,-18.6316273754363,-168.147942627847,-26.8966799087664,-4.23966437522986,0.8393645944148
5.6,-18.5118323124858,-166.356750533382,-26.8730499897978,-4.7654461592968,0.862994513383402
5.7,-18.3562047843348,-164.41049283104,-26.9022679663198,-4.5200872609554,0.8337765368614
5.8,-18.1400314448475,-162.641972020444,-26.8502267919365,-4.34446892364979,0.885817711244702
5.9,-17.9102780459572,-161.327707067826,-26.8073582367672,-4.83716126147942,0.928686266414001
6,-17.7139473308438,-160.14646282222,-26.8280062460413,-5.34634057593229,0.9080382571399
6.1,-17.5096199335301,-158.714539521893,-26.835456397395,-5.50832790585726,0.900588105786202
6.2,-17.2269951610504,-157.405785089259,-26.8339789560494,-5.52520249491755,0.902065547131802
6.3,-16.939077868241,-156.616810121419,-26.8721854865192,-5.74929192318661,0.863859016662001
6.4,-16.6744631484883,-156.099517637606,-26.824362892344,-5.99368240514384,0.911681610837203
6.5,-16.4387437216479,-155.561584088734,-26.8392609925943,-6.43361895523886,0.8967835105869
6.6,-16.1849671039924,-155.046305346402,-26.8528830828042,-6.74238085476417,0.883161420377
6.7,-15.9156796738157,-154.803036257213,-26.8117734582164,-7.02856871317212,0.924271044964801
6.8,-15.6770496296483,-154.787944079775,-26.7945651176101,-7.11780149564696,0.9414793855711
6.9,-15.4661538078098,-154.732794300834,-26.8156670490518,-7.39961856965151,0.920377454129401
7,-15.2421837302691,-154.635924911972,-26.8622562971645,-7.77765029079614,0.873788206016702
7.1,-15.0047415081799,-154.71272379416,-26.9008766222713,-8.03873373436514,0.8351678809099
7.2,-14.7887994576269,-154.990633182723,-26.9232491669798,-8.35194689088979,0.8127953362014
7.3,-14.5902479114267,-155.241292555017,-26.9494357876369,-8.93667019563271,0.7866087155443
7.4,-14.3848309966138,-155.514336827813,-26.9262724512682,-9.56557801965478,0.809772051913001
7.5,-14.178598106314,-155.966422145034,-26.9521738760289,-9.5310689682376,0.7838706271523
7.6,-13.9954057358908,-156.539678503907,-26.9770483667343,-9.41984451921809,0.7589961364469
7.7,-13.8289803610409,-157.082278632407,-27.008251906311,-10.1022116778605,0.727792596870202
7.8,-13.6649580146382,-157.659647528523,-27.0465440301101,-10.6359219424352,0.689500473071103
7.9,-13.5026116008843,-158.309246151748,-27.0317926911896,-10.5511742810088,0.7042518119916
8,-13.3579425344596,-159.030689640582,-27.0160890582999,-10.3308756914896,0.7199554448813
8.1,-13.2288475519902,-159.75148241105,-27.0903696225637,-10.4243219397332,0.645674880617502
8.2,-13.0955981802029,-160.408413076682,-27.1245737291069,-10.8227996802745,0.611470774074302
8.3,-12.9665374757436,-161.175539686254,-27.116005444544,-11.0343243452372,0.6200390586372
8.4,-12.8526027562984,-162.050387930802,-27.0945102627798,-11.3334207578197,0.641534240401402
8.5,-12.7620133266233,-162.856383745499,-27.0794063761148,-11.818803981961,0.656638127066401
8.6,-12.6656793365641,-163.580964758419,-27.0826266446117,-12.1962319927371,0.653417858569501
8.7,-12.5606114949088,-164.392671630403,-27.1188067510684,-12.6705866413598,0.6172377521128
8.8,-12.4762816192108,-165.308493522741,-27.2383586405225,-12.9199680587601,0.497685862658702
8.9,-12.414859338932,-166.197821849964,-27.2506605064787,-13.0857197387206,0.485383996702502
9,-12.3513718189115,-166.970204870883,-27.2812456909209,-13.2140511235587,0.4547988122603
9.1,-12.2838434135754,-167.755010073464,-27.3593402951197,-13.3917005524042,0.376704208061501
9.2,-12.2139279706621,-168.637095990597,-27.4160468344133,-13.6530624769612,0.3199976687679
9.3,-12.1699480931029,-169.572958496062,-27.446736492204,-13.9110110166174,0.289308010977201
9.4,-12.138143931342,-170.387128334194,-27.4190167249867,-13.9781006692863,0.3170277781945
9.5,-12.093563190061,-171.120911541625,-27.4768527661898,-13.9588618195549,0.259191736991401
9.6,-12.0446368054377,-171.986112104873,-27.5326114997442,-13.95996920705,0.203433003437002
9.7,-12.0118858006659,-172.926491857313,-27.5533839819085,-13.9102377067276,0.182660521272702
9.8,-11.9974887683321,-173.769217910022,-27.5404967778903,-13.8244915786564,0.195547725290901
9.9,-11.9798813780432,-174.599045555107,-27.5660397862399,-13.8324659776479,0.1700047169413
10,-11.9563421227401,-175.409420781241,-27.5765194905594,-13.833765860929,0.159525012621803
10.1,-11.9445559968899,-176.284815261282,-27.6243269187153,-13.8289846398064,0.1117175844659
10.2,-11.9359505092555,-177.158606992338,-27.6636501356911,-13.8814900224061,0.072394367490102
10.3,-11.9376020741664,-178.009955783877,-27.6921343587874,-13.9718236572941,0.043910144393802
10.4,-11.9442790514903,-178.834836198291,-27.7469148077851,-14.0116743140067,-0.010870304603898
10.5,-11.9444859044855,-179.677637089522,-27.7946748229506,-13.9488676964022,-0.058630319769399
10.6,-11.9560260871022,179.438071311535,-27.8060649831673,-13.7711703862967,-0.070020479986098
10.7,-11.9800937549462,178.58530055409,-27.7950169614482,-13.5589588642348,-0.058972458267
10.8,-12.0011997478757,177.752238225101,-27.7906840713536,-13.6771708525972,-0.054639568172398
10.9,-12.0237088406637,176.898259828098,-27.8056035694624,-14.1906817762614,-0.069559066281197
11,-12.0540649492277,176.036392188819,-27.7952210794703,-14.5866303086851,-0.059176576289097
11.1,-12.0863781713196,175.180996755987,-27.8118979263454,-14.3895588126038,-0.075853423164197
11.2,-12.1310661857625,174.330014895764,-27.812871989367,-14.4631252592494,-0.076827486185799
11.3,-12.1798646920329,173.528605358798,-27.8381582072105,-14.6385273347852,-0.1021137040293
11.4,-12.2293270585222,172.713116791106,-27.8592985281038,-14.6027470257341,-0.123254024922598
11.5,-12.2891199128062,171.95215875398,-27.9206791175573,-14.4552387719894,-0.184634614376098
11.6,-12.3444115703967,171.223821869283,-27.9246121044962,-14.6918938103558,-0.188567601315
11.7,-12.3986185457346,170.490053572064,-27.935010884382,-14.8737524772482,-0.198966381200798
11.8,-12.4562148855185,169.719595491698,-27.9868733689225,-15.0190572381751,-0.250828865741298
11.9,-12.5286054596646,168.97494870353,-27.9986206064462,-14.9492560346822,-0.262576103264998
12,-12.6030509604832,168.296615326517,-28.008625042929,-15.0809383138472,-0.2725805397478
12.1,-12.6688781671484,167.600070114584,-28.0273831861553,-14.8334073336997,-0.2913386829741
12.2,-12.7417647098838,166.839368720451,-28.1345181380969,-14.3949598112328,-0.3984736349157
12.3,-12.839623886144,166.131893023339,-28.1598789545776,-14.5905378389608,-0.423834451396399
12.4,-12.939750125721,165.504055197783,-28.0994254274585,-14.9242195060079,-0.363380924277298
12.5,-13.0196536272993,164.910880255959,-28.0887563165842,-14.4914179903942,-0.352711813402998
12.6,-13.1057169005655,164.266299369209,-28.1580310875185,-14.5746472282687,-0.421986584337297
12.7,-13.2104700400475,163.538019764921,-28.1398246741786,-14.8477666477161,-0.403780170997397
12.8,-13.3326573739403,162.925172687562,-28.1818246375475,-14.5586201608406,-0.445780134366299
12.9,-13.4418292068807,162.404427499004,-28.2332504297313,-14.433839957361,-0.497205926550098
13,-13.5361648178323,161.826848160665,-28.2515189752828,-14.9405978197509,-0.515474472101598
